,Index,Lender name,Rate type,Initial rate,Initial Period,Ongoing rate,Ending Loan,Interest Paid,Capital Paid,Overpayments,Fee,Total costs (excl. capital)
0,139,Post Office,Fixed,2.38,60,4.99,70125.63178352326,10125.631783523235,28874.368216476738,15898.734761837597,1190.0,11315.631783523235
0,593,BM Solutions,Fixed,2.58,60,4.84,71036.1058384784,11036.10583847838,27963.894161521603,15282.00677544599,295.0,11331.10583847838
0,411,Platform,Fixed,1.44,24,4.74,69341.87020809372,9341.870208093658,29658.129791906278,17866.587029585233,1999.0,11340.870208093658
0,13,Post Office,Fixed,1.62,24,4.99,70165.6297959113,10165.629795911302,28834.3702040887,17297.448150563443,1190.0,11355.629795911302
0,422,Post Office,Fixed,1.62,24,4.99,70165.6297959113,10165.629795911302,28834.3702040887,17297.448150563443,1190.0,11355.629795911302
0,207,Principality Building Society,Fixed,2.65,60,4.9,71357.05170646547,11357.051706465496,27642.94829353453,15063.95079659658,0.0,11357.051706465496
0,3,Virgin Money,Fixed,1.44,24,4.99,69377.37533541863,9377.375335418645,29622.624664581366,17839.239851934846,1995.0,11372.375335418645
0,410,Virgin Money,Fixed,1.44,24,4.99,69377.37533541863,9377.375335418645,29622.624664581366,17839.239851934846,1995.0,11372.375335418645
0,151,Metro Bank,Fixed,2.44,60,4.5,70397.76423028563,10397.764230285595,28602.235769714374,15714.697813008488,999.0,11396.764230285595
0,46,Virgin Money Intermediary,Fixed,1.9,36,4.99,70410.32302015267,10410.323020152655,28589.676979847325,16783.37611599554,995.0,11405.323020152655
0,450,Virgin Money Intermediary,Fixed,1.9,36,4.99,70410.32302015267,10410.323020152655,28589.676979847325,16783.37611599554,995.0,11405.323020152655
0,22,Virgin Money,Fixed,1.69,36,4.99,69474.03015029234,9474.030150292321,29525.96984970766,17425.813314927283,1995.0,11469.030150292321
0,429,Virgin Money,Fixed,1.69,36,4.99,69474.03015029234,9474.030150292321,29525.96984970766,17425.813314927283,1995.0,11469.030150292321
0,112,Leeds Building Society ,Fixed,2.24,60,5.99,69494.00295880032,9494.002958800305,29505.997041199676,16324.866437930075,1999.0,11493.002958800305
0,516,Platform,Fixed,2.24,60,4.74,69494.00295880032,9494.002958800305,29505.997041199676,16324.866437930075,1999.0,11493.002958800305
0,14,BM Solutions,Fixed,1.64,24,4.84,70232.1306031548,10232.130603154847,28767.8693968452,17253.26474091294,1290.0,11522.130603154847
0,116,Godiva Mortgages Limited,Fixed,2.25,60,4.74,69538.96440373853,9538.964403738477,29461.03559626147,16294.581524896465,1999.0,11537.964403738477
0,521,Leeds Building Society ,Fixed,2.25,60,5.99,69538.96440373853,9538.964403738477,29461.03559626147,16294.581524896465,1999.0,11537.964403738477
0,216,Skipton Building Society,Fixed,2.69,60,4.94,71540.98287325448,11540.982873254912,27459.017126745515,14938.837415841554,0.0,11540.982873254912
0,219,Leeds Building Society ,Fixed,2.69,60,5.99,71540.98287325448,11540.982873254912,27459.017126745515,14938.837415841554,0.0,11540.982873254912
0,622,Skipton Building Society,Fixed,2.69,60,4.94,71540.98287325448,11540.982873254912,27459.017126745515,14938.837415841554,0.0,11540.982873254912
0,624,Leeds Building Society ,Fixed,2.69,60,5.99,71540.98287325448,11540.982873254912,27459.017126745515,14938.837415841554,0.0,11540.982873254912
0,452,Platform,Fixed,1.94,24,4.74,71548.54686696643,11548.546866966435,27451.453133033574,16338.524625494772,0.0,11548.546866966435
0,95,BM Solutions,Fixed,2.19,60,4.84,69269.5520644028,9269.552064402757,29730.4479355972,16475.936848427093,2290.0,11559.552064402757
0,500,BM Solutions,Fixed,2.19,60,4.84,69269.5520644028,9269.552064402757,29730.4479355972,16475.936848427093,2290.0,11559.552064402757
0,554,BM Solutions,Fixed,2.42,60,4.84,70306.95750236974,10306.95750236969,28693.04249763026,15776.137157483927,1290.0,11596.95750236969
0,434,Principality Building Society,Fixed,1.75,24,4.9,70726.45866800458,10726.458668004518,28273.541331995424,16910.20871399998,895.0,11621.458668004518
0,570,Metro Bank,Fixed,2.49,60,4.5,70625.20143632454,10625.201436324545,28374.79856367546,15560.690204501125,999.0,11624.201436324545
