,CapitalPaid,CapitalPaymentDue,DealNum,FeePaid,Fees,InterestDue,InterestRate,LTV,Loan,Month,OverpaymentPaid,PropertyPrice,RemainingTerm,num
36,1236.06807545,-1814.31703035,1,0,0,921.248954898,0.0274,0.804461255001,402230.6275,36,343,500000,324,1.0
37,1238.89043089,-1814.31703035,1,0,0,918.426599459,0.0274,0.801983474139,400991.737069,37,343,500000,323,1.0
38,1241.7192307,-1814.31703035,1,0,0,915.597799642,0.0274,0.799500035677,399750.017839,38,343,500000,322,1.0
39,1244.55448961,-1814.31703035,1,0,0,912.762540732,0.0274,0.797010926698,398505.463349,39,343,500000,321,1.0
40,1247.39622236,-1814.31703035,1,0,0,909.92080798,0.0274,0.794516134254,397258.067127,40,343,500000,320,1.0
41,1250.24444374,-1814.31703035,1,0,0,907.072586606,0.0274,0.792015645366,396007.822683,41,343,500000,319,1.0
42,1253.09916855,-1814.31703035,1,0,0,904.217861793,0.0274,0.789509447029,394754.723514,42,343,500000,318,1.0
43,1255.96041165,-1814.31703035,1,0,0,901.356618691,0.0274,0.786997526206,393498.763103,43,343,500000,317,1.0
44,1258.82818793,-1814.31703035,1,0,0,898.488842418,0.0274,0.78447986983,392239.934915,44,343,500000,316,1.0
45,1261.70251229,-1814.31703035,1,0,0,895.614518056,0.0274,0.781956464805,390978.232403,45,343,500000,315,1.0
46,1264.58339969,-1814.31703035,1,0,0,892.733630653,0.0274,0.779427298006,389713.649003,46,343,500000,314,1.0
47,1267.47086512,-1814.31703035,1,0,0,889.846165223,0.0274,0.776892356276,388446.178138,47,343,500000,313,1.0
48,1270.3649236,-1814.31703035,1,0,0,886.952106748,0.0274,0.774351626428,387175.813214,48,343,500000,312,1.0
49,1273.26559017,-1814.31703035,1,0,0,884.051440172,0.0274,0.771805095248,385902.547624,49,343,500000,311,1.0
50,1276.17287994,-1814.31703035,1,0,0,881.144150408,0.0274,0.769252749488,384626.374744,50,343,500000,310,1.0
51,1279.08680801,-1814.31703035,1,0,0,878.230222332,0.0274,0.766694575872,383347.287936,51,343,500000,309,1.0
52,1282.00738956,-1814.31703035,1,0,0,875.309640787,0.0274,0.764130561093,382065.280547,52,343,500000,308,1.0
53,1284.93463976,-1814.31703035,1,0,0,872.382390581,0.0274,0.761560691813,380780.345907,53,343,500000,307,1.0
54,1287.86857386,-1814.31703035,1,0,0,869.448456487,0.0274,0.758984954666,379492.477333,54,343,500000,306,1.0
55,1290.8092071,-1814.31703035,1,0,0,866.507823243,0.0274,0.756403336252,378201.668126,55,343,500000,305,1.0
56,1293.75655479,-1814.31703035,1,0,0,863.560475554,0.0274,0.753815823142,376907.911571,56,343,500000,304,1.0
57,1296.71063226,-1814.31703035,1,0,0,860.606398087,0.0274,0.751222401877,375611.200939,57,343,500000,303,1.0
58,1299.67145487,-1814.31703035,1,0,0,857.645575477,0.0274,0.748623058968,374311.529484,58,343,500000,302,1.0
59,1302.63903802,-1814.31703035,1,0,0,854.677992321,0.0274,0.746017780892,373008.890446,59,343,500000,301,1.0
60,1305.61339716,-1814.31703035,1,0,0,851.703633185,0.0274,0.743406554097,371703.277049,60,343,500000,300,1.0
0,0,-1814.31703035,1,995.0,995.0,0,0.0274,0.89,445000,0,0,500000,360,2.0
1,798.233697012,-1814.31703035,1,0,0,1016.08333333,0.0274,0.888403532606,444201.766303,1,0,500000,359,2.0
2,800.05633062,-1814.31703035,1,0,0,1014.26069973,0.0274,0.886803419945,443401.709972,2,0,500000,358,2.0
3,801.883125908,-1814.31703035,1,0,0,1012.43390444,0.0274,0.885199653693,442599.826846,3,0,500000,357,2.0
4,803.714092379,-1814.31703035,1,0,0,1010.60293797,0.0274,0.883592225508,441796.112754,4,0,500000,356,2.0
5,805.549239557,-1814.31703035,1,0,0,1008.76779079,0.0274,0.881981127029,440990.563515,5,0,500000,355,2.0
6,807.388576987,-1814.31703035,1,0,0,1006.92845336,0.0274,0.880366349875,440183.174938,6,0,500000,354,2.0
7,809.232114238,-1814.31703035,1,0,0,1005.08491611,0.0274,0.878747885647,439373.942823,7,0,500000,353,2.0
8,811.079860899,-1814.31703035,1,0,0,1003.23716945,0.0274,0.877125725925,438562.862962,8,0,500000,352,2.0
9,812.931826581,-1814.31703035,1,0,0,1001.38520376,0.0274,0.875499862272,437749.931136,9,0,500000,351,2.0
10,814.788020918,-1814.31703035,1,0,0,999.529009427,0.0274,0.87387028623,436935.143115,10,0,500000,350,2.0
11,816.648453566,-1814.31703035,1,0,0,997.668576779,0.0274,0.872236989323,436118.494661,11,0,500000,349,2.0
12,4934.5131342,-1814.31703035,1,0,0,995.803896143,0.0274,0.862367963054,431183.981527,12,4116,500000,348,2.0
13,829.780272525,-1814.31703035,1,0,0,984.53675782,0.0274,0.860708402509,430354.201255,13,0,500000,347,2.0
14,831.674937481,-1814.31703035,1,0,0,982.642092865,0.0274,0.859045052634,429522.526317,14,0,500000,346,2.0
